#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 UNSTEADY SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#             CP_AVG:   Time-averaged coefficient of pressure
#             CP_RMS:   Root mean square of instantaneous coefficient of pressure
#             CF_AVG:   Time-averaged skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#             CF_RMS:   Root mean square of skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "XXX.YY"
# Column       1     2     3     4       5          6          7          8
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP_AVG"   "CP_RMS"   "CF_AVG"   "CF_RMS"


#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "Participant ID"
-999 -999 -999 0.049155 -0.624130 -999 -999 -999
-999 -999 -999 0.086534 -0.633976 -999 -999 -999
-999 -999 -999 0.091142 -0.694417 -999 -999 -999
-999 -999 -999 0.141321 -0.730203 -999 -999 -999
-999 -999 -999 0.117768 -0.722825 -999 -999 -999
-999 -999 -999 0.144905 -0.751885 -999 -999 -999
-999 -999 -999 0.223246 -0.742637 -999 -999 -999
-999 -999 -999 0.228367 -0.727077 -999 -999 -999
-999 -999 -999 0.234511 -0.624336 -999 -999 -999
-999 -999 -999 0.320020 -0.541934 -999 -999 -999
-999 -999 -999 0.447005 -0.598476 -999 -999 -999
-999 -999 -999 0.432156 -0.649325 -999 -999 -999
-999 -999 -999 0.428059 -0.643297 -999 -999 -999
-999 -999 -999 0.350742 -0.535830 -999 -999 -999
-999 -999 -999 0.419355 -0.563828 -999 -999 -999
-999 -999 -999 0.518689 -0.376470 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=58.572800 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.356569 -999 -999 -999
-999 -999 -999 0.987711 0.075994 -999 -999 -999
-999 -999 -999 0.986687 0.062769 -999 -999 -999
-999 -999 -999 0.652842 -0.208560 -999 -999 -999
-999 -999 -999 0.611879 -0.212589 -999 -999 -999
-999 -999 -999 0.739887 -0.174013 -999 -999 -999
-999 -999 -999 0.714798 -0.204287 -999 -999 -999
-999 -999 -999 0.792627 -0.105373 -999 -999 -999
-999 -999 -999 0.830005 -0.062284 -999 -999 -999
-999 -999 -999 0.002048 0.180091 -999 -999 -999
-999 -999 -999 0.000000 0.386265 -999 -999 -999
-999 -999 -999 0.002048 0.102078 -999 -999 -999
-999 -999 -999 0.984639 0.066724 -999 -999 -999
-999 -999 -999 0.969278 0.011718 -999 -999 -999
-999 -999 -999 0.955965 0.044164 -999 -999 -999
-999 -999 -999 0.943164 0.052884 -999 -999 -999
-999 -999 -999 0.907834 -0.036558 -999 -999 -999
-999 -999 -999 0.898105 -0.076896 -999 -999 -999
-999 -999 -999 0.891961 -0.095949 -999 -999 -999
-999 -999 -999 0.861239 -0.083055 -999 -999 -999
-999 -999 -999 0.002048 0.021511 -999 -999 -999
-999 -999 -999 0.006656 -0.129436 -999 -999 -999
-999 -999 -999 0.010241 -0.252838 -999 -999 -999
-999 -999 -999 0.011777 -0.330951 -999 -999 -999
-999 -999 -999 0.014849 -0.391655 -999 -999 -999
-999 -999 -999 0.017921 -0.390064 -999 -999 -999
-999 -999 -999 0.020993 -0.434571 -999 -999 -999
-999 -999 -999 0.024578 -0.564484 -999 -999 -999
-999 -999 -999 0.040963 -0.589135 -999 -999 -999
-999 -999 -999 0.046083 -0.589975 -999 -999 -999
-999 -999 -999 0.048131 -0.602758 -999 -999 -999
-999 -999 -999 0.086534 -0.659182 -999 -999 -999
-999 -999 -999 0.090630 -0.721291 -999 -999 -999
-999 -999 -999 0.140297 -0.744229 -999 -999 -999
-999 -999 -999 0.113159 -0.735169 -999 -999 -999
-999 -999 -999 0.144905 -0.777613 -999 -999 -999
-999 -999 -999 0.222222 -0.750576 -999 -999 -999
-999 -999 -999 0.227855 -0.727376 -999 -999 -999
-999 -999 -999 0.235023 -0.621393 -999 -999 -999
-999 -999 -999 0.318484 -0.545207 -999 -999 -999
-999 -999 -999 0.442908 -0.598982 -999 -999 -999
-999 -999 -999 0.430620 -0.657820 -999 -999 -999
-999 -999 -999 0.427035 -0.662558 -999 -999 -999
-999 -999 -999 0.349718 -0.519484 -999 -999 -999
-999 -999 -999 0.419867 -0.523120 -999 -999 -999
-999 -999 -999 0.518689 -0.381333 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=58.777600 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.369547 -999 -999 -999
-999 -999 -999 0.987711 0.117343 -999 -999 -999
-999 -999 -999 0.987199 0.107974 -999 -999 -999
-999 -999 -999 0.648233 -0.216053 -999 -999 -999
-999 -999 -999 0.611367 -0.211819 -999 -999 -999
-999 -999 -999 0.740399 -0.191152 -999 -999 -999
-999 -999 -999 0.713774 -0.218757 -999 -999 -999
-999 -999 -999 0.795699 -0.150124 -999 -999 -999
-999 -999 -999 0.829493 -0.114819 -999 -999 -999
-999 -999 -999 0.002048 0.188099 -999 -999 -999
-999 -999 -999 0.000000 0.378801 -999 -999 -999
-999 -999 -999 0.002560 0.112141 -999 -999 -999
-999 -999 -999 0.985151 0.103330 -999 -999 -999
-999 -999 -999 0.969790 0.005778 -999 -999 -999
-999 -999 -999 0.955965 0.028554 -999 -999 -999
-999 -999 -999 0.943676 0.013674 -999 -999 -999
-999 -999 -999 0.909370 -0.044362 -999 -999 -999
-999 -999 -999 0.898618 -0.081506 -999 -999 -999
-999 -999 -999 0.891961 -0.101217 -999 -999 -999
-999 -999 -999 0.858167 -0.118641 -999 -999 -999
-999 -999 -999 0.002560 0.008110 -999 -999 -999
-999 -999 -999 0.006656 -0.160335 -999 -999 -999
-999 -999 -999 0.009729 -0.255470 -999 -999 -999
-999 -999 -999 0.012289 -0.342017 -999 -999 -999
-999 -999 -999 0.015361 -0.421646 -999 -999 -999
-999 -999 -999 0.017921 -0.436648 -999 -999 -999
-999 -999 -999 0.020993 -0.466819 -999 -999 -999
-999 -999 -999 0.024578 -0.584161 -999 -999 -999
-999 -999 -999 0.043011 -0.592112 -999 -999 -999
-999 -999 -999 0.046083 -0.599132 -999 -999 -999
-999 -999 -999 0.047619 -0.611573 -999 -999 -999
-999 -999 -999 0.087046 -0.709001 -999 -999 -999
-999 -999 -999 0.090118 -0.769770 -999 -999 -999
-999 -999 -999 0.139785 -0.741017 -999 -999 -999
-999 -999 -999 0.107527 -0.751342 -999 -999 -999
-999 -999 -999 0.144905 -0.757602 -999 -999 -999
-999 -999 -999 0.220686 -0.744999 -999 -999 -999
-999 -999 -999 0.227343 -0.727913 -999 -999 -999
-999 -999 -999 0.235535 -0.627610 -999 -999 -999
-999 -999 -999 0.316436 -0.492564 -999 -999 -999
-999 -999 -999 0.437788 -0.527892 -999 -999 -999
-999 -999 -999 0.429083 -0.587330 -999 -999 -999
-999 -999 -999 0.426523 -0.641342 -999 -999 -999
-999 -999 -999 0.348694 -0.461995 -999 -999 -999
-999 -999 -999 0.421403 -0.450904 -999 -999 -999
-999 -999 -999 0.519713 -0.323710 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=58.982400 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.347050 -999 -999 -999
-999 -999 -999 0.987711 0.143532 -999 -999 -999
-999 -999 -999 0.987199 0.136767 -999 -999 -999
-999 -999 -999 0.643113 -0.243511 -999 -999 -999
-999 -999 -999 0.610343 -0.242400 -999 -999 -999
-999 -999 -999 0.740399 -0.212786 -999 -999 -999
-999 -999 -999 0.712238 -0.246615 -999 -999 -999
-999 -999 -999 0.799283 -0.141828 -999 -999 -999
-999 -999 -999 0.828981 -0.110097 -999 -999 -999
-999 -999 -999 0.002048 0.190645 -999 -999 -999
-999 -999 -999 0.000000 0.398905 -999 -999 -999
-999 -999 -999 0.002048 0.106223 -999 -999 -999
-999 -999 -999 0.985663 0.135265 -999 -999 -999
-999 -999 -999 0.969790 0.015256 -999 -999 -999
-999 -999 -999 0.955453 0.030860 -999 -999 -999
-999 -999 -999 0.943676 0.034067 -999 -999 -999
-999 -999 -999 0.910394 -0.062026 -999 -999 -999
-999 -999 -999 0.899130 -0.100486 -999 -999 -999
-999 -999 -999 0.891449 -0.119230 -999 -999 -999
-999 -999 -999 0.854071 -0.120802 -999 -999 -999
-999 -999 -999 0.003072 -0.003657 -999 -999 -999
-999 -999 -999 0.006656 -0.175553 -999 -999 -999
-999 -999 -999 0.009729 -0.266266 -999 -999 -999
-999 -999 -999 0.011777 -0.340164 -999 -999 -999
-999 -999 -999 0.015873 -0.428008 -999 -999 -999
-999 -999 -999 0.017921 -0.435931 -999 -999 -999
-999 -999 -999 0.019969 -0.468335 -999 -999 -999
-999 -999 -999 0.024578 -0.570035 -999 -999 -999
-999 -999 -999 0.044547 -0.601366 -999 -999 -999
-999 -999 -999 0.046083 -0.603230 -999 -999 -999
-999 -999 -999 0.047107 -0.613586 -999 -999 -999
-999 -999 -999 0.087046 -0.686255 -999 -999 -999
-999 -999 -999 0.089094 -0.708939 -999 -999 -999
-999 -999 -999 0.138761 -0.698424 -999 -999 -999
-999 -999 -999 0.100870 -0.769871 -999 -999 -999
-999 -999 -999 0.144905 -0.722037 -999 -999 -999
-999 -999 -999 0.218638 -0.761077 -999 -999 -999
-999 -999 -999 0.226318 -0.742273 -999 -999 -999
-999 -999 -999 0.236047 -0.643197 -999 -999 -999
-999 -999 -999 0.314388 -0.506370 -999 -999 -999
-999 -999 -999 0.431644 -0.546586 -999 -999 -999
-999 -999 -999 0.427035 -0.585560 -999 -999 -999
-999 -999 -999 0.425499 -0.637666 -999 -999 -999
-999 -999 -999 0.347670 -0.442773 -999 -999 -999
-999 -999 -999 0.422427 -0.474491 -999 -999 -999
-999 -999 -999 0.520225 -0.307140 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=59.187200 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.349747 -999 -999 -999
-999 -999 -999 0.987206 0.184102 -999 -999 -999
-999 -999 -999 0.986694 0.178845 -999 -999 -999
-999 -999 -999 0.637155 -0.224127 -999 -999 -999
-999 -999 -999 0.609007 -0.231784 -999 -999 -999
-999 -999 -999 0.740020 -0.211055 -999 -999 -999
-999 -999 -999 0.710338 -0.239896 -999 -999 -999
-999 -999 -999 0.801945 -0.152927 -999 -999 -999
-999 -999 -999 0.828045 -0.130422 -999 -999 -999
-999 -999 -999 0.001535 0.196124 -999 -999 -999
-999 -999 -999 0.000000 0.384384 -999 -999 -999
-999 -999 -999 0.002047 0.115411 -999 -999 -999
-999 -999 -999 0.985670 0.173653 -999 -999 -999
-999 -999 -999 0.969294 0.004444 -999 -999 -999
-999 -999 -999 0.954452 0.027522 -999 -999 -999
-999 -999 -999 0.943193 0.021845 -999 -999 -999
-999 -999 -999 0.911464 -0.029564 -999 -999 -999
-999 -999 -999 0.898669 -0.065458 -999 -999 -999
-999 -999 -999 0.890481 -0.081155 -999 -999 -999
-999 -999 -999 0.849539 -0.117142 -999 -999 -999
-999 -999 -999 0.003071 -0.001760 -999 -999 -999
-999 -999 -999 0.006653 -0.183035 -999 -999 -999
-999 -999 -999 0.009212 -0.281907 -999 -999 -999
-999 -999 -999 0.011771 -0.349018 -999 -999 -999
-999 -999 -999 0.016377 -0.442371 -999 -999 -999
-999 -999 -999 0.017912 -0.451244 -999 -999 -999
-999 -999 -999 0.019447 -0.476096 -999 -999 -999
-999 -999 -999 0.024053 -0.558751 -999 -999 -999
-999 -999 -999 0.046059 -0.614873 -999 -999 -999
-999 -999 -999 0.046059 -0.618775 -999 -999 -999
-999 -999 -999 0.046059 -0.630571 -999 -999 -999
-999 -999 -999 0.049130 -0.752016 -999 -999 -999
-999 -999 -999 0.087001 -0.772860 -999 -999 -999
-999 -999 -999 0.088025 -0.706378 -999 -999 -999
-999 -999 -999 0.137666 -0.822822 -999 -999 -999
-999 -999 -999 0.094166 -0.728762 -999 -999 -999
-999 -999 -999 0.144831 -0.760118 -999 -999 -999
-999 -999 -999 0.216479 -0.734807 -999 -999 -999
-999 -999 -999 0.225179 -0.647664 -999 -999 -999
-999 -999 -999 0.236438 -0.542496 -999 -999 -999
-999 -999 -999 0.312180 -0.525755 -999 -999 -999
-999 -999 -999 0.425281 -0.562884 -999 -999 -999
-999 -999 -999 0.424258 -0.614427 -999 -999 -999
-999 -999 -999 0.424258 -0.422402 -999 -999 -999
-999 -999 -999 0.345957 -0.452651 -999 -999 -999
-999 -999 -999 0.423234 -0.298105 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=59.392000 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.378060 -999 -999 -999
-999 -999 -999 0.986701 0.248270 -999 -999 -999
-999 -999 -999 0.986701 0.246364 -999 -999 -999
-999 -999 -999 0.632225 -0.227921 -999 -999 -999
-999 -999 -999 0.608184 -0.233518 -999 -999 -999
-999 -999 -999 0.740153 -0.226390 -999 -999 -999
-999 -999 -999 0.708951 -0.250600 -999 -999 -999
-999 -999 -999 0.805115 -0.167914 -999 -999 -999
-999 -999 -999 0.827110 -0.142169 -999 -999 -999
-999 -999 -999 0.002046 0.186539 -999 -999 -999
-999 -999 -999 0.000000 0.402915 -999 -999 -999
-999 -999 -999 0.002558 0.102544 -999 -999 -999
-999 -999 -999 0.986189 0.235222 -999 -999 -999
-999 -999 -999 0.969309 0.032628 -999 -999 -999
-999 -999 -999 0.954476 0.029070 -999 -999 -999
-999 -999 -999 0.943223 -0.030210 -999 -999 -999
-999 -999 -999 0.912532 -0.063054 -999 -999 -999
-999 -999 -999 0.898721 -0.095963 -999 -999 -999
-999 -999 -999 0.890026 -0.109938 -999 -999 -999
-999 -999 -999 0.846036 -0.139407 -999 -999 -999
-999 -999 -999 0.004092 -0.007338 -999 -999 -999
-999 -999 -999 0.006650 -0.173843 -999 -999 -999
-999 -999 -999 0.009207 -0.266485 -999 -999 -999
-999 -999 -999 0.012276 -0.343629 -999 -999 -999
-999 -999 -999 0.017391 -0.455094 -999 -999 -999
-999 -999 -999 0.018414 -0.480010 -999 -999 -999
-999 -999 -999 0.018926 -0.501758 -999 -999 -999
-999 -999 -999 0.024041 -0.582205 -999 -999 -999
-999 -999 -999 0.045524 -0.631043 -999 -999 -999
-999 -999 -999 0.046036 -0.634374 -999 -999 -999
-999 -999 -999 0.046547 -0.645685 -999 -999 -999
-999 -999 -999 0.084910 -0.722061 -999 -999 -999
-999 -999 -999 0.087468 -0.722436 -999 -999 -999
-999 -999 -999 0.087468 -0.681123 -999 -999 -999
-999 -999 -999 0.136573 -0.792849 -999 -999 -999
-999 -999 -999 0.087980 -0.703660 -999 -999 -999
-999 -999 -999 0.144757 -0.767696 -999 -999 -999
-999 -999 -999 0.214834 -0.741645 -999 -999 -999
-999 -999 -999 0.224552 -0.666396 -999 -999 -999
-999 -999 -999 0.236829 -0.552212 -999 -999 -999
-999 -999 -999 0.310486 -0.503443 -999 -999 -999
-999 -999 -999 0.423018 -0.577992 -999 -999 -999
-999 -999 -999 0.422506 -0.630443 -999 -999 -999
-999 -999 -999 0.419437 -0.456481 -999 -999 -999
-999 -999 -999 0.345269 -0.453274 -999 -999 -999
-999 -999 -999 0.521228 -0.281352 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=59.596800 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.371029 -999 -999 -999
-999 -999 -999 0.987206 0.304576 -999 -999 -999
-999 -999 -999 0.987206 0.304218 -999 -999 -999
-999 -999 -999 0.627943 -0.249244 -999 -999 -999
-999 -999 -999 0.607472 -0.258258 -999 -999 -999
-999 -999 -999 0.740532 -0.233764 -999 -999 -999
-999 -999 -999 0.707779 -0.271422 -999 -999 -999
-999 -999 -999 0.808086 -0.161855 -999 -999 -999
-999 -999 -999 0.826510 -0.144595 -999 -999 -999
-999 -999 -999 0.001535 0.150485 -999 -999 -999
-999 -999 -999 0.000000 0.380702 -999 -999 -999
-999 -999 -999 0.002047 0.075493 -999 -999 -999
-999 -999 -999 0.987206 0.293918 -999 -999 -999
-999 -999 -999 0.969806 0.095873 -999 -999 -999
-999 -999 -999 0.953941 0.071362 -999 -999 -999
-999 -999 -999 0.943705 0.029513 -999 -999 -999
-999 -999 -999 0.913511 -0.065666 -999 -999 -999
-999 -999 -999 0.899181 -0.106260 -999 -999 -999
-999 -999 -999 0.889458 -0.117215 -999 -999 -999
-999 -999 -999 0.842886 -0.137698 -999 -999 -999
-999 -999 -999 0.004094 -0.028027 -999 -999 -999
-999 -999 -999 0.006141 -0.184878 -999 -999 -999
-999 -999 -999 0.008188 -0.305662 -999 -999 -999
-999 -999 -999 0.011771 -0.387495 -999 -999 -999
-999 -999 -999 0.017400 -0.448431 -999 -999 -999
-999 -999 -999 0.017912 -0.461366 -999 -999 -999
-999 -999 -999 0.017912 -0.487146 -999 -999 -999
-999 -999 -999 0.023541 -0.571564 -999 -999 -999
-999 -999 -999 0.044012 -0.613053 -999 -999 -999
-999 -999 -999 0.045036 -0.614426 -999 -999 -999
-999 -999 -999 0.046059 -0.630684 -999 -999 -999
-999 -999 -999 0.086489 -0.747242 -999 -999 -999
-999 -999 -999 0.087513 -0.746896 -999 -999 -999
-999 -999 -999 0.135619 -0.701720 -999 -999 -999
-999 -999 -999 0.144319 -0.805447 -999 -999 -999
-999 -999 -999 0.212897 -0.727769 -999 -999 -999
-999 -999 -999 0.223644 -0.792658 -999 -999 -999
-999 -999 -999 0.236950 -0.756424 -999 -999 -999
-999 -999 -999 0.308086 -0.661842 -999 -999 -999
-999 -999 -999 0.422211 -0.544062 -999 -999 -999
-999 -999 -999 0.420164 -0.505460 -999 -999 -999
-999 -999 -999 0.413511 -0.577976 -999 -999 -999
-999 -999 -999 0.343910 -0.631958 -999 -999 -999
-999 -999 -999 0.522006 -0.463673 -999 -999 -999
-999 -999 -999 0.495394 -0.433778 -999 -999 -999
-999 -999 -999 0.425281 -0.301556 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=59.801600 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.354351 -999 -999 -999
-999 -999 -999 0.987212 0.315897 -999 -999 -999
-999 -999 -999 0.986701 0.312689 -999 -999 -999
-999 -999 -999 0.624552 -0.212383 -999 -999 -999
-999 -999 -999 0.606650 -0.224474 -999 -999 -999
-999 -999 -999 0.740153 -0.227329 -999 -999 -999
-999 -999 -999 0.706394 -0.249196 -999 -999 -999
-999 -999 -999 0.810230 -0.164087 -999 -999 -999
-999 -999 -999 0.826087 -0.140153 -999 -999 -999
-999 -999 -999 0.001535 0.166213 -999 -999 -999
-999 -999 -999 0.000000 0.407889 -999 -999 -999
-999 -999 -999 0.002046 0.095089 -999 -999 -999
-999 -999 -999 0.986701 0.299313 -999 -999 -999
-999 -999 -999 0.969309 0.065002 -999 -999 -999
-999 -999 -999 0.953453 0.061466 -999 -999 -999
-999 -999 -999 0.943223 0.062395 -999 -999 -999
-999 -999 -999 0.914066 -0.029760 -999 -999 -999
-999 -999 -999 0.899233 -0.067187 -999 -999 -999
-999 -999 -999 0.889003 -0.078494 -999 -999 -999
-999 -999 -999 0.839898 -0.117367 -999 -999 -999
-999 -999 -999 0.004092 0.000111 -999 -999 -999
-999 -999 -999 0.006650 -0.201594 -999 -999 -999
-999 -999 -999 0.008184 -0.291305 -999 -999 -999
-999 -999 -999 0.012276 -0.359613 -999 -999 -999
-999 -999 -999 0.017903 -0.464934 -999 -999 -999
-999 -999 -999 0.017903 -0.497165 -999 -999 -999
-999 -999 -999 0.017903 -0.523033 -999 -999 -999
-999 -999 -999 0.023529 -0.590674 -999 -999 -999
-999 -999 -999 0.043478 -0.633053 -999 -999 -999
-999 -999 -999 0.045013 -0.640363 -999 -999 -999
-999 -999 -999 0.046547 -0.649842 -999 -999 -999
-999 -999 -999 0.086445 -0.769643 -999 -999 -999
-999 -999 -999 0.087468 -0.772334 -999 -999 -999
-999 -999 -999 0.135038 -0.695311 -999 -999 -999
-999 -999 -999 0.144757 -0.781316 -999 -999 -999
-999 -999 -999 0.212276 -0.691654 -999 -999 -999
-999 -999 -999 0.223529 -0.780974 -999 -999 -999
-999 -999 -999 0.237340 -0.737974 -999 -999 -999
-999 -999 -999 0.306905 -0.646616 -999 -999 -999
-999 -999 -999 0.421483 -0.607702 -999 -999 -999
-999 -999 -999 0.418414 -0.539642 -999 -999 -999
-999 -999 -999 0.409207 -0.605513 -999 -999 -999
-999 -999 -999 0.343734 -0.621793 -999 -999 -999
-999 -999 -999 0.522251 -0.520140 -999 -999 -999
-999 -999 -999 0.494629 -0.475385 -999 -999 -999
-999 -999 -999 0.426087 -0.332411 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=60.006400 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.382335 -999 -999 -999
-999 -999 -999 0.987724 0.365844 -999 -999 -999
-999 -999 -999 0.987212 0.362068 -999 -999 -999
-999 -999 -999 0.623018 -0.220976 -999 -999 -999
-999 -999 -999 0.606650 -0.227843 -999 -999 -999
-999 -999 -999 0.740665 -0.237329 -999 -999 -999
-999 -999 -999 0.706394 -0.270850 -999 -999 -999
-999 -999 -999 0.811253 -0.173241 -999 -999 -999
-999 -999 -999 0.826087 -0.139669 -999 -999 -999
-999 -999 -999 0.001535 0.119661 -999 -999 -999
-999 -999 -999 0.000000 0.417382 -999 -999 -999
-999 -999 -999 0.002558 0.055411 -999 -999 -999
-999 -999 -999 0.986701 0.336197 -999 -999 -999
-999 -999 -999 0.969821 0.042626 -999 -999 -999
-999 -999 -999 0.953453 0.039808 -999 -999 -999
-999 -999 -999 0.943223 0.009651 -999 -999 -999
-999 -999 -999 0.915090 -0.008032 -999 -999 -999
-999 -999 -999 0.899233 -0.031379 -999 -999 -999
-999 -999 -999 0.889003 -0.043898 -999 -999 -999
-999 -999 -999 0.838875 -0.107534 -999 -999 -999
-999 -999 -999 0.004604 -0.033249 -999 -999 -999
-999 -999 -999 0.006650 -0.216692 -999 -999 -999
-999 -999 -999 0.008696 -0.331614 -999 -999 -999
-999 -999 -999 0.012276 -0.401767 -999 -999 -999
-999 -999 -999 0.017903 -0.479005 -999 -999 -999
-999 -999 -999 0.017903 -0.489274 -999 -999 -999
-999 -999 -999 0.024041 -0.519196 -999 -999 -999
-999 -999 -999 0.043478 -0.580058 -999 -999 -999
-999 -999 -999 0.045013 -0.600047 -999 -999 -999
-999 -999 -999 0.046547 -0.610609 -999 -999 -999
-999 -999 -999 0.085934 -0.626687 -999 -999 -999
-999 -999 -999 0.087980 -0.688185 -999 -999 -999
-999 -999 -999 0.135038 -0.688596 -999 -999 -999
-999 -999 -999 0.144757 -0.706141 -999 -999 -999
-999 -999 -999 0.211765 -0.762245 -999 -999 -999
-999 -999 -999 0.223018 -0.705985 -999 -999 -999
-999 -999 -999 0.237852 -0.794390 -999 -999 -999
-999 -999 -999 0.306394 -0.752123 -999 -999 -999
-999 -999 -999 0.420972 -0.653634 -999 -999 -999
-999 -999 -999 0.417903 -0.626692 -999 -999 -999
-999 -999 -999 0.407161 -0.560332 -999 -999 -999
-999 -999 -999 0.343223 -0.630109 -999 -999 -999
-999 -999 -999 0.522762 -0.610801 -999 -999 -999
-999 -999 -999 0.494629 -0.544219 -999 -999 -999
-999 -999 -999 0.427110 -0.527298 -999 -999 -999
-999 -999 -999 0.600512 -0.331287 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=60.211200 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.433951 -999 -999 -999
-999 -999 -999 0.987219 0.431169 -999 -999 -999
-999 -999 -999 0.986708 0.429884 -999 -999 -999
-999 -999 -999 0.622188 -0.237249 -999 -999 -999
-999 -999 -999 0.606339 -0.238205 -999 -999 -999
-999 -999 -999 0.740286 -0.237122 -999 -999 -999
-999 -999 -999 0.706033 -0.234849 -999 -999 -999
-999 -999 -999 0.811350 -0.144327 -999 -999 -999
-999 -999 -999 0.825665 -0.101535 -999 -999 -999
-999 -999 -999 0.001534 0.142749 -999 -999 -999
-999 -999 -999 0.000000 0.442362 -999 -999 -999
-999 -999 -999 0.002556 0.081791 -999 -999 -999
-999 -999 -999 0.986196 0.395722 -999 -999 -999
-999 -999 -999 0.969325 0.056751 -999 -999 -999
-999 -999 -999 0.953476 0.033835 -999 -999 -999
-999 -999 -999 0.943252 -0.026980 -999 -999 -999
-999 -999 -999 0.914622 -0.046338 -999 -999 -999
-999 -999 -999 0.898773 -0.063104 -999 -999 -999
-999 -999 -999 0.888548 -0.073378 -999 -999 -999
-999 -999 -999 0.838446 -0.089253 -999 -999 -999
-999 -999 -999 0.004601 0.023176 -999 -999 -999
-999 -999 -999 0.006646 -0.188329 -999 -999 -999
-999 -999 -999 0.008691 -0.304280 -999 -999 -999
-999 -999 -999 0.012270 -0.383024 -999 -999 -999
-999 -999 -999 0.017894 -0.488978 -999 -999 -999
-999 -999 -999 0.018405 -0.523051 -999 -999 -999
-999 -999 -999 0.024029 -0.511898 -999 -999 -999
-999 -999 -999 0.043456 -0.599411 -999 -999 -999
-999 -999 -999 0.044990 -0.630100 -999 -999 -999
-999 -999 -999 0.046524 -0.652080 -999 -999 -999
-999 -999 -999 0.086401 -0.648949 -999 -999 -999
-999 -999 -999 0.087935 -0.737293 -999 -999 -999
-999 -999 -999 0.134969 -0.717749 -999 -999 -999
